[23:24:34] currSec: 7.347664, totSec: 250.500000, status: 1, state: 0
[23:24:34] currSec: 7.719184, totSec: 250.500000, status: 1, state: 0
[23:24:35] currSec: 8.462222, totSec: 250.500000, status: 1, state: 0
[23:24:35] currSec: 8.833741, totSec: 250.500000, status: 1, state: 0
[23:24:36] currSec: 9.576780, totSec: 250.500000, status: 1, state: 0
[23:24:36] currSec: 9.948299, totSec: 250.500000, status: 1, state: 0
[23:24:37] currSec: 10.319819, totSec: 250.500000, status: 1, state: 0
[23:24:37] currSec: 11.062857, totSec: 250.500000, status: 1, state: 0
[23:24:38] currSec: 11.434376, totSec: 250.500000, status: 1, state: 0
[23:24:38] currSec: 11.805896, totSec: 250.500000, status: 1, state: 0
[23:24:39] currSec: 12.548934, totSec: 250.500000, status: 1, state: 0
[23:24:39] currSec: 12.920454, totSec: 250.500000, status: 1, state: 0
[23:24:40] currSec: 13.291973, totSec: 250.500000, status: 1, state: 0
[23:24:40] currSec: 14.035011, totSec: 250.500000, status: 1, state: 0
[23:24:41] currSec: 14.406531, totSec: 250.500000, status: 1, state: 0
[23:24:41] currSec: 14.778050, totSec: 250.500000, status: 1, state: 0
[23:24:42] currSec: 15.521088, totSec: 250.500000, status: 1, state: 0
[23:24:42] currSec: 15.892608, totSec: 250.500000, status: 1, state: 0
[23:24:43] currSec: 16.264127, totSec: 250.500000, status: 1, state: 0
[23:24:43] currSec: 17.007166, totSec: 250.500000, status: 1, state: 0
[23:24:44] currSec: 17.378685, totSec: 250.500000, status: 1, state: 0
[23:24:44] currSec: 17.750204, totSec: 250.500000, status: 1, state: 0
[23:24:45] currSec: 18.493243, totSec: 250.500000, status: 1, state: 0
[23:24:45] currSec: 18.864762, totSec: 250.500000, status: 1, state: 0
[23:24:46] currSec: 19.236281, totSec: 250.500000, status: 1, state: 0
[23:24:46] currSec: 19.979320, totSec: 250.500000, status: 1, state: 0
[23:24:47] currSec: 20.350839, totSec: 250.500000, status: 1, state: 0
[23:24:47] currSec: 20.722358, totSec: 250.500000, status: 1, state: 0
[23:24:48] currSec: 21.465397, totSec: 250.500000, status: 1, state: 0
[23:24:48] currSec: 21.836916, totSec: 250.500000, status: 1, state: 0
[23:24:49] currSec: 22.579955, totSec: 250.500000, status: 1, state: 0
[23:24:49] currSec: 22.951474, totSec: 250.500000, status: 1, state: 0
[23:24:50] currSec: 23.322993, totSec: 250.500000, status: 1, state: 0
[23:24:50] currSec: 24.066032, totSec: 250.500000, status: 1, state: 0
[23:24:51] currSec: 24.437551, totSec: 250.500000, status: 1, state: 0
